2009  12  0  0  0 350
 -72.073   0.3159179688  0.81436     1449.50000 0.9338       0.661933       0.066188
 -73.901   0.3205566406  0.80548     1449.00000 0.9389       0.611423       0.061142
 -72.169   0.3205566406  0.80604     1449.50000 0.9327       0.673528       0.067347
 -73.732   0.3251953125  0.78585     1449.00000 0.9381       0.618703       0.061870
 -72.255   0.3251953125  0.79260     1449.50000 0.9315       0.684753       0.068470
 -73.566   0.3298339844  0.77426     1449.00000 0.9374       0.625601       0.062560
 -72.329   0.3298339844  0.78101     1449.50000 0.9304       0.695604       0.069556
 -64.729   0.3298339844  0.81072     1772.00000 0.9640       0.359678       0.035967
 -73.400   0.3344726562  0.76142     1449.00000 0.9368       0.632119       0.063212
 -72.392   0.3344726562  0.76821     1449.50000 0.9294       0.706081       0.070604
 -73.598   0.3344726562  0.81691     1771.50000 0.9603       0.397233       0.039719
 -65.591   0.3344726562  0.81372     1772.00000 0.9630       0.370305       0.037030
 -72.444   0.3391113281  0.75454     1449.50000 0.9284       0.716182       0.071614
 -74.187   0.3391113281  0.81753     1771.50000 0.9595       0.405445       0.040540
 -66.333   0.3391113281  0.81469     1772.00000 0.9619       0.380782       0.038078
 -74.705   0.3437500000  0.81628     1771.50000 0.9587       0.413433       0.041339
 -66.972   0.3437500000  0.81376     1772.00000 0.9609       0.391114       0.039111
 -75.161   0.3483886719  0.80649     1771.50000 0.9579       0.421211       0.042117
 -67.519   0.3483886719  0.80998     1772.00000 0.9599       0.401307       0.040130
 -75.559   0.3530273438  0.80118     1771.50000 0.9571       0.428797       0.042875
 -67.985   0.3530273438  0.80583     1772.00000 0.9589       0.411373       0.041137
 -75.906   0.3576660156  0.79424     1771.50000 0.9564       0.436205       0.043616
 -68.380   0.3576660156  0.80012     1772.00000 0.9579       0.421325       0.042132
 -76.208   0.3623046875  0.78575     1771.50000 0.9557       0.443452       0.044341
 -68.712   0.3623046875  0.79297     1772.00000 0.9569       0.431173       0.043117
 -76.467   0.3669433594  0.77580     1771.50000 0.9549       0.450553       0.045051
 -68.987   0.3669433594  0.78446     1772.00000 0.9559       0.440934       0.044093
 -76.688   0.3715820312  0.76445     1771.50000 0.9543       0.457524       0.045748
 -69.213   0.3715820312  0.77469     1772.00000 0.9549       0.450622       0.045062
 -76.874   0.3762207031  0.75175     1771.50000 0.9536       0.464380       0.046433
 -69.394   0.3762207031  0.76371     1772.00000 0.9540       0.460252       0.046025
 -69.536   0.3808593750  0.75053     1772.00000 0.9530       0.469837       0.046984
-102.883   0.4179687500  0.77311     1684.00000 0.8049       1.951321       0.195120
-102.883   0.4226074219  0.77013     1684.00000 0.8049       1.950871       0.195075
 -99.944   0.4226074219  0.75547     1861.50000 0.6977       3.023217       0.302312
-102.883   0.4272460938  0.76718     1684.00000 0.8050       1.950141       0.195001
 -99.938   0.4272460938  0.75566     1861.50000 0.6959       3.041597       0.304150
-102.885   0.4318847656  0.76425     1684.00000 0.8051       1.949138       0.194900
 -99.929   0.4318847656  0.75520     1861.50000 0.6939       3.060860       0.306075
-102.887   0.4365234375  0.76134     1684.00000 0.8052       1.947874       0.194773
 -99.919   0.4365234375  0.75395     1861.50000 0.6919       3.081011       0.308090
-102.891   0.4411621094  0.75845     1684.00000 0.8054       1.946355       0.194621
 -99.907   0.4411621094  0.75169     1861.50000 0.6898       3.102049       0.310193
-102.896   0.4458007812  0.75557     1684.00000 0.8056       1.944591       0.194444
2009  12 12 27  5 350
  13.474   0.1489257812  0.78430     2757.00000 0.9056       0.944376       0.094438
-110.323   0.1489257812  0.77445     3270.50000 0.8162       1.838544       0.183831
-104.261   0.1535644531  0.80610     3271.00000 0.8626       1.374329       0.137422
 -90.399   0.1535644531  0.76434     3272.00000 0.9243       0.757108       0.075707
-103.280   0.1582031250  0.83334     3271.00000 0.8693       1.306689       0.130665
 -97.077   0.1582031250  0.81665     3271.50000 0.8991       1.009456       0.100942
 -90.040   0.1582031250  0.79570     3272.00000 0.9233       0.766515       0.076651
 -84.372   0.1582031250  0.77592     3272.50000 0.9384       0.615564       0.061556
-102.177   0.1628417969  0.84401     3271.00000 0.8758       1.241660       0.124166
 -96.133   0.1628417969  0.83495     3271.50000 0.9016       0.984010       0.098400
 -89.239   0.1628417969  0.81928     3272.00000 0.9236       0.764463       0.076446
 -83.587   0.1628417969  0.79986     3272.50000 0.9377       0.623218       0.062321
 -95.042   0.1674804688  0.83432     3271.50000 0.9045       0.955229       0.095523
 -88.175   0.1674804688  0.81965     3272.00000 0.9244       0.755677       0.075567
 -82.466   0.1674804688  0.80181     3272.50000 0.9376       0.623965       0.062394
 -93.877   0.1721191406  0.83042     3271.50000 0.9074       0.925966       0.092596
 -86.949   0.1721191406  0.82455     3272.00000 0.9257       0.743178       0.074316
-137.339   0.1860351562  0.90214     1199.50000 0.8395       1.605066       0.160505
-135.631   0.1906738281  0.88506     1199.50000 0.8342       1.657933       0.165789
-134.073   0.1953125000  0.86040     1199.50000 0.8283       1.717154       0.171709
-132.666   0.1999511719  0.83669     1199.50000 0.8218       1.782165       0.178206
-109.010   0.1999511719  0.75047     2478.50000 0.8114       1.885896       0.188569
-131.411   0.2045898438  0.80609     1199.50000 0.8148       1.852274       0.185212
-108.267   0.2045898438  0.77254     2478.50000 0.8107       1.892864       0.189268
 -89.259   0.2045898438  0.76615     2480.50000 0.8990       1.009591       0.100954
 -44.898   0.2045898438  0.75687     3247.00000 0.8765       1.234621       0.123456
-107.582   0.2092285156  0.81128     2478.50000 0.8100       1.899731       0.189957
 -45.079   0.2092285156  0.75630     3247.00000 0.8748       1.251768       0.125169
-106.950   0.2138671875  0.83066     2478.50000 0.8093       1.906748       0.190661
 -45.347   0.2138671875  0.77028     3247.00000 0.8741       1.259116       0.125901
 -41.291   0.2138671875  0.75637     3247.50000 0.8463       1.537317       0.153727
-106.366   0.2185058594  0.83386     2478.50000 0.8086       1.914126       0.191401
-105.827   0.2231445312  0.82490     2478.50000 0.8078       1.922037       0.192195
 -88.563   0.2231445312  0.82109     2481.00000 0.9025       0.975534       0.097550
-113.794   0.2231445312  0.78455     2483.00000 0.5532       4.468416       0.446842
-105.329   0.2277832031  0.80076     2478.50000 0.8069       1.930619       0.193055
 -88.273   0.2277832031  0.79289     2481.00000 0.9043       0.957054       0.095703
-104.871   0.2324218750  0.78028     2478.50000 0.8060       1.939982       0.193992
 -87.897   0.2324218750  0.77016     2481.00000 0.9065       0.935342       0.093533
-104.451   0.2370605469  0.76989     2478.50000 0.8050       1.950210       0.195017
 -87.437   0.2370605469  0.75865     2481.00000 0.9089       0.911139       0.091113
-104.068   0.2416992188  0.77161     2478.50000 0.8039       1.961364       0.196133
 -86.892   0.2416992188  0.75955     2481.00000 0.9115       0.885064       0.088506
 -51.109   0.2463378906  0.75487     2332.00000 0.8976       1.024053       0.102400
-103.721   0.2463378906  0.77230     2478.50000 0.8027       1.973495       0.197347
 -86.260   0.2463378906  0.75878     2481.00000 0.9142       0.857629       0.085763
 -92.868   0.2509765625  0.75500     2270.50000 0.8505       1.495032       0.149503
 -91.698   0.2509765625  0.79409     2271.00000 0.8472       1.528102       0.152809
 -88.340   0.2509765625  0.83671     2271.50000 0.8472       1.528152       0.152814
 -83.839   0.2509765625  0.79311     2272.00000 0.8536       1.464153       0.146415
 -51.535   0.2509765625  0.79249     2332.00000 0.8975       1.025381       0.102534
-103.408   0.2509765625  0.75573     2478.50000 0.8013       1.986635       0.198662
-132.785   0.2509765625  0.76325     2740.50000 0.9612       0.388299       0.038830
-136.968   0.2509765625  0.77279     2741.00000 0.9452       0.547524       0.054752
 -93.516   0.2556152344  0.75868     2270.50000 0.8501       1.498523       0.149852
 -92.235   0.2556152344  0.79678     2271.00000 0.8459       1.540828       0.154082
 -88.679   0.2556152344  0.84040     2271.50000 0.8453       1.547460       0.154745
 -83.893   0.2556152344  0.79297     2272.00000 0.8515       1.484779       0.148478
 -51.952   0.2556152344  0.78564     2332.00000 0.8975       1.024899       0.102487
-133.293   0.2556152344  0.75568     2740.50000 0.9607       0.393211       0.039321
-137.290   0.2556152344  0.75886     2741.00000 0.9446       0.553750       0.055375
 -94.163   0.2602539062  0.76061     2270.50000 0.8497       1.503250       0.150325
 -92.773   0.2602539062  0.79790     2271.00000 0.8445       1.555315       0.155531
 -89.019   0.2602539062  0.84235     2271.50000 0.8431       1.569112       0.156911
 -83.936   0.2602539062  0.79110     2272.00000 0.8492       1.507675       0.150767
 -52.356   0.2602539062  0.77756     2332.00000 0.8978       1.022464       0.102245
-108.749   0.2602539062  0.75196     2744.50000 0.9486       0.513888       0.051388
 -93.324   0.2648925781  0.75220     2270.00000 0.8551       1.449486       0.144949
 -94.805   0.2648925781  0.80344     2270.50000 0.8491       1.508944       0.150894
 -93.310   0.2648925781  0.88919     2271.00000 0.8429       1.571310       0.157130
 -89.359   0.2648925781  0.88068     2271.50000 0.8407       1.592968       0.159296
 -83.971   0.2648925781  0.84049     2272.00000 0.8467       1.532814       0.153281
 -78.306   0.2648925781  0.77732     2272.50000 0.8622       1.377639       0.137762
 -52.742   0.2648925781  0.79892     2332.00000 0.8982       1.017946       0.101794
-126.302   0.2648925781  0.77655     2740.00000 0.9759       0.240918       0.024091
-134.262   0.2648925781  0.79745     2740.50000 0.9600       0.400203       0.040020
 -95.442   0.2695312500  0.80035     2270.50000 0.8485       1.515366       0.151537
 -93.845   0.2695312500  0.88627     2271.00000 0.8411       1.588562       0.158856
 -89.701   0.2695312500  0.87401     2271.50000 0.8381       1.618881       0.161888
 -83.998   0.2695312500  0.83562     2272.00000 0.8440       1.560167       0.156016
 -77.907   0.2695312500  0.77370     2272.50000 0.8602       1.398439       0.139840
 -53.105   0.2695312500  0.78734     2332.00000 0.8989       1.011228       0.101123
-126.989   0.2695312500  0.77168     2740.00000 0.9758       0.241569       0.024156
-134.727   0.2695312500  0.79266     2740.50000 0.9598       0.402381       0.040238
 -96.070   0.2741699219  0.79490     2270.50000 0.8478       1.522303       0.152230
 -94.377   0.2741699219  0.88082     2271.00000 0.8393       1.606830       0.160683
 -90.043   0.2741699219  0.86611     2271.50000 0.8353       1.646702       0.164670
 -84.019   0.2741699219  0.82969     2272.00000 0.8410       1.589707       0.158969
 -77.479   0.2741699219  0.76901     2272.50000 0.8579       1.420585       0.142054
 -53.439   0.2741699219  0.77475     2332.00000 0.8998       1.002217       0.100222
-127.621   0.2741699219  0.76558     2740.00000 0.9759       0.241130       0.024112
-135.181   0.2741699219  0.78624     2740.50000 0.9596       0.403746       0.040375
 -96.689   0.2788085938  0.78731     2270.50000 0.8470       1.529570       0.152957
 -94.903   0.2788085938  0.87297     2271.00000 0.8374       1.625883       0.162588
 -90.386   0.2788085938  0.85710     2271.50000 0.8324       1.676270       0.167627
 -84.037   0.2788085938  0.82278     2272.00000 0.8379       1.621410       0.162139
 -77.024   0.2788085938  0.76333     2272.50000 0.8556       1.444059       0.144399
 -53.743   0.2788085938  0.76124     2332.00000 0.9009       0.990842       0.099084
-128.204   0.2788085938  0.75857     2740.00000 0.9760       0.239665       0.023966
-135.624   0.2788085938  0.77860     2740.50000 0.9596       0.404341       0.040434
 -95.767   0.2834472656  0.76812     2270.00000 0.8562       1.438267       0.143826
 -97.296   0.2834472656  0.86068     2270.50000 0.8463       1.537010       0.153701
